name;type;price;fuel-type;year_of_make;kim;power;place
Volkswagen;Passat Variant;23990;Diesel;2018;126000;110;B8
Audi;A4;23990;Diesel;2017;148000;200;8W2
BMW;X1;23900;Diesel;2017;105000;140;F48
Volkswagen;Tiguan;23900;Benzín;2019;86558;96;AD
Mercedes;A trieda;25000;Benzín;2018;60000;120;5 (5 miest)
Škoda;Kodiaq;25000;Benzín;2019;39200;110;NS
BMW;rad 7;25000;Benzín;2016;249000;330;G11/12
Volkswagen;T4 Multivan;25000;Diesel;2013;157000;132;5 (7 miest)
BMW;X3;25000;Diesel;2016;150000;140;F25 mod.14
BMW;rad 7;24999;Diesel;2013;166098;230;5 (5 miest)
Škoda;Kodiaq;24999;Diesel;2019;102055;110;5
BMW;X3;24990;Diesel;2015;150000;140;F25 mod.14
Opel;Mokka;24990;Diesel;2022;12000;81;5 (5 miest)
Lincoln;Continental;24990;Benzín;1975;5938;166;0 (6 miest)
Seat;Ateca;24990;Benzín;2020;57859;110;5 (5 miest)
Opel;Astra;26490;Benzín;2023;3900;96;5 (5 miest)
Mercedes;E trieda;26000;Benzín;2018;191000;155;W213
BMW;rad 5;26000;Diesel;2017;154000;140;G30
Škoda;Kodiaq;26000;Benzín;2017;106000;132;5 (5 miest)
Škoda;Octavia Combi;25999;Benzín;2021;46285;110;5 (5 miest)
Peugeot;2008;27990;Benzín;2023;2;96;Šedá tm.
Suzuki;Jimny;27900;Benzín;2021;10050;75;3 (2 miesta)
Toyota;Hilux;27900;Diesel;2019;130000;110;NG16
Volvo;V60;27875.00;Diesel;2021;79000;145;5 (5 miest)
BMW;i3;27800;Elektro;2019;25157;135;mod.17
Volkswagen;Golf Variant;27720;Benzín;2023;5;96;5 (5 miest)
Audi;A6 Avant;27649;Diesel;2018;179963;200;5 (5 miest)
Volvo;XC40;27600;Diesel;2018;66756;110;5 (5 miest)
Hyundai;Tucson;27550;Benzín;2023;6;110;5 (5 miest)
Volkswagen;Golf;27500;Benzín;2023;6;96;5 (5 miest)
BMW;M5;29999;Benzín;2012;135000;412;F10
Volkswagen;Tiguan;29990;Diesel;2019;84117;140;5 (5 miest)
Volkswagen;Touran;29950;Diesel;2021;42000;110;5T
Audi;A5 Sportback;29900;Diesel;2017;90000;140;F5A
Volkswagen;Touareg;29900;Diesel;2016;197000;193;7P mod.14
Audi;A6 Avant;29500;Diesel;2018;120000;140;4G5 mod.15
Volkswagen;Golf Variant;29500;Benzín;2023;4536;96;5 (5 miest)
Mercedes;C trieda Sportcoupé;31900;Diesel;2020;102373;143;3 (4 miesta)
Mini;Cooper S;31800;Elektro;2023;4000;135;3 (4 miesta)
Škoda;Kodiaq;31760;Diesel;2020;160702;176;5 (7 miest)
Volkswagen;Passat Alltrack;31750;Diesel;2020;73000;140;5 (5 miest)
Hyundai;Tucson;34490;Benzín;2023;3200;132;Metalíza
Škoda;Kodiaq;34000;Diesel;2019;80550;110;NS
Renault;Master Furgon;33990;Diesel;2023;22;100;5 (3 miesta)
Mercedes;E trieda T;33900;Diesel;2018;28036;143;5 (5 miest)
Volkswagen;Tiguan;33760;Benzín;2023;2;110;5 (5 miest)
Audi;A6 Avant;35990;Diesel;2019;136900;170;5 (5 miest)
Toyota;Hilux;35500;Diesel;2019;130000;110;NG16
Jaguar;E-Pace;35500;Benzín;2018;8063;147;5 (5 miest)
Peugeot;Boxer;38990;Diesel;2022;244;120;5 (3 miesta)
Seat;Tarraco;38500;Benzín;2020;51880;140;5 (5 miest)
